database_version,material_id,formula,composition_key,elements,n_elements,spacegroup_no,crystal_system,e_above_hull,band_gap,theoretical,icsd_ids,pauling_ids,last_updated,disposition,disposition_reason,ranking_score,ensemble_spread,ad_distance,screen_rank,evidence_state
2026.04.13,mp-766088,LiCr3Ni(SO4)6,Cr:0.08571429|Li:0.02857143|Ni:0.02857143|O:0.68571429|S:0.17142857,Cr;Li;Ni;O;S,5,1,Triclinic,0.0094406510357112,2.3309,True,,,2021-02-23 14:14:49.631000+00:00,oxygen_scope_exclusion,contains oxygen; outside the declared Li-S scope,-6.434112463616512,0.2653784422547555,4.276669530174319,136,not_applicable
2026.04.13,mp-766506,Li3CuS2,Cu:0.16666667|Li:0.50000000|S:0.33333333,Cu;Li;S,3,206,Cubic,0.0184476464583314,2.0526000000000004,True,,,2022-01-01 06:57:11.433000+00:00,redox_electronic_risk,Cu,-6.467816156777384,0.3350109173129305,4.681600246374616,144,not_applicable
2026.04.13,mp-766540,Li4TiS4,Li:0.44444444|S:0.44444444|Ti:0.11111111,Li;S;Ti,3,62,Orthorhombic,0.0,2.3658,True,,,2022-04-29 02:26:54.375000+00:00,screen_candidate,outside OBELiX composition set,-6.438284208286736,0.2382872356235137,5.5711151074456655,138,unflagged
2026.04.13,mp-767165,K2LiVS4,K:0.25000000|Li:0.12500000|S:0.50000000|V:0.12500000,K;Li;S;V,4,9,Monoclinic,0.0,1.5185,True,,,2021-02-15 20:51:00.056000+00:00,redox_electronic_risk,V,-6.936971411305274,0.5552681172213558,9.058546252792798,177,not_applicable
2026.04.13,mp-768590,Li2Ni2(SO4)3,Li:0.10526316|Ni:0.10526316|O:0.63157895|S:0.15789474,Li;Ni;O;S,4,15,Monoclinic,0.0157517825000006,3.5479000000000003,True,,,2021-02-23 08:58:09.705000+00:00,oxygen_scope_exclusion,contains oxygen; outside the declared Li-S scope,-6.489519299873993,0.20903582043354732,5.3710996709204135,148,not_applicable
2026.04.13,mp-768659,Li2Co2(SO4)3,Co:0.10526316|Li:0.10526316|O:0.63157895|S:0.15789474,Co;Li;O;S,4,15,Monoclinic,0.036282792763159,2.703,True,,,2021-02-24 02:57:15.190000+00:00,oxygen_scope_exclusion,contains oxygen; outside the declared Li-S scope,-6.845543718681456,0.2548666783590178,5.914058305524966,163,not_applicable
2026.04.13,mp-768742,Li2Mn2(SO4)3,Li:0.10526316|Mn:0.10526316|O:0.63157895|S:0.15789474,Li;Mn;O;S,4,15,Monoclinic,0.012794903157892,4.3938,True,,,2021-02-23 06:21:10.890000+00:00,oxygen_scope_exclusion,contains oxygen; outside the declared Li-S scope,-6.321964080056696,0.28523418945707085,3.033487903157583,125,not_applicable
2026.04.13,mp-768755,Li2Sn2(SO4)3,Li:0.10526316|O:0.63157895|S:0.15789474|Sn:0.10526316,Li;O;S;Sn,4,60,Orthorhombic,0.0351480532894683,3.9623,True,,,2021-02-24 09:41:34.122000+00:00,oxygen_scope_exclusion,contains oxygen; outside the declared Li-S scope,-8.42115906771497,0.4109759663192654,3.768687292853232,220,not_applicable
2026.04.13,mp-768831,Li2Fe2(SO4)3,Fe:0.10526316|Li:0.10526316|O:0.63157895|S:0.15789474,Fe;Li;O;S,4,15,Monoclinic,0.016610252763149,4.2958,True,,,2021-02-15 20:52:58.069000+00:00,oxygen_scope_exclusion,contains oxygen; outside the declared Li-S scope,-6.909111315972783,0.2187703245390952,9.82017988935489,175,not_applicable
2026.04.13,mp-769287,Li2TiS2O,Li:0.33333333|O:0.16666667|S:0.33333333|Ti:0.16666667,Li;O;S;Ti,4,14,Monoclinic,0.0276130735648161,2.2463,True,,,2021-02-24 13:20:57.242000+00:00,oxygen_scope_exclusion,contains oxygen; outside the declared Li-S scope,-6.389908771532526,0.3072924572579609,7.639155023103099,132,not_applicable
