label,formula,Family,ens_mean,ens_std,kind,sigma300_mS_cm
mp-1147687,Li10Zn(PS4)4,unknown,-6.134959927353731,0.26936063642459424,mp,
mp-1147692,Li10Zn(PS4)4,unknown,-5.730674103817017,0.3488053998124507,mp,
mp-1147693,Li10Zn(PS4)4,unknown,-7.139078567234077,0.33617078698404107,mp,
mp-1147694,Li10Zn(PS4)4,unknown,-6.520122738609525,0.37925587917531794,mp,
mp-1147695,Li10Zn(PS4)4,unknown,-6.427053004281683,0.35010191307647254,mp,
mp-1147696,Li10Zn(PS4)4,unknown,-6.4867294682889804,0.35739159140178,mp,
mp-1147697,Li10Zn(PS4)4,unknown,-7.062481218565826,0.356496319401172,mp,
mp-1147698,Li10Zn(PS4)4,unknown,-6.726596231955949,0.3973843557750499,mp,
mp-1147627,Li10Zn7(PS4)8,unknown,-5.918495047586167,0.28907156840459036,mp,
mp-1147630,Li10Zn7(PS4)8,unknown,-5.741304260171664,0.2320654549549481,mp,
mp-1147634,Li10Zn7(PS4)8,unknown,-5.6293888014229,0.26604071306519955,mp,
mp-1040451,Li20Si3P3S23Cl,LGPS,-4.4592568622534,0.2630519782403662,mp,
mp-1097034,Li20Si3P3S23Cl,LGPS,-4.465395473917771,0.25694403794169046,mp,
mp-1097035,Li20Si3P3S23Cl,LGPS,-4.482297740227487,0.2599000649483631,mp,
mp-29410,Li2B2S5,unknown,-6.983057779437388,0.3315062182879469,mp,
mp-1189383,Li2CdGeS4,thio-LISICON,-7.314583655201583,0.3129911579578809,mp,
mp-1188784,Li2CdSnS4,thio-LISICON,-7.3168140559047625,0.31749068346566167,mp,
mp-554782,Li2Ga2GeS6,thio-LISICON,-6.4436716232346924,0.3158840527068659,mp,
mp-1080241,Li2Ge(S2O7)3,thio-LISICON,-6.021768218259359,0.3374639458613599,mp,
mp-19896,Li2GePbS4,thio-LISICON,-6.012416541417422,0.20943339662677588,mp,
mp-1191476,Li2In2GeS6,thio-LISICON,-6.786184983557642,0.3167829847903422,mp,
mp-1191903,Li2In2SiS6,thio-LISICON,-6.819910778756653,0.309218118550375,mp,
