database_version,material_id,formula,composition_key,elements,n_elements,spacegroup_no,crystal_system,e_above_hull,band_gap,theoretical,icsd_ids,pauling_ids,last_updated
2026.04.13,mp-559814,Li5SbS3I2,I:0.18181818|Li:0.45454545|S:0.27272727|Sb:0.09090909,I;Li;S;Sb,4,58,Orthorhombic,0.0,2.5078999999999994,False,icsd-413355,,2021-02-23 04:54:57.830000+00:00
2026.04.13,mp-560212,Li2Ni(SO4)2,Li:0.15384615|Ni:0.07692308|O:0.61538462|S:0.15384615,Li;Ni;O;S,4,61,Orthorhombic,0.0018033458653841095,4.278599999999999,False,icsd-193963;icsd-409554,,2021-02-06 04:20:42.098000+00:00
2026.04.13,mp-560614,KLiSO4,K:0.14285714|Li:0.14285714|O:0.57142857|S:0.14285714,K;Li;O;S,4,33,Orthorhombic,0.008812724642857539,5.260300000000001,False,icsd-88832,,2021-02-05 03:20:00.907000+00:00
2026.04.13,mp-5614,Li3BS3,B:0.14285714|Li:0.42857143|S:0.42857143,B;Li;S,3,62,Orthorhombic,0.0,3.0495,False,icsd-380104;icsd-75223,,2022-04-30 04:17:19.183000+00:00
2026.04.13,mp-573030,Cs2LiNbS4,Cs:0.25000000|Li:0.12500000|Nb:0.12500000|S:0.50000000,Cs;Li;Nb;S,4,2,Triclinic,0.0,2.4582,False,icsd-414187,,2021-02-16 13:46:06.186000+00:00
2026.04.13,mp-6179,KLiSO4,K:0.14285714|Li:0.14285714|O:0.57142857|S:0.14285714,K;Li;O;S,4,173,Hexagonal,0.00019388714285728526,5.3221,False,icsd-20851;icsd-280391;icsd-33251;icsd-36038;icsd-36470;icsd-36471;icsd-36472;icsd-48136;icsd-56106;icsd-71364;icsd-86284;icsd-88827;icsd-88828,,2023-10-07 18:22:40.245000+00:00
2026.04.13,mp-6211,RbLiSO4,Li:0.14285714|O:0.57142857|Rb:0.14285714|S:0.14285714,Li;O;Rb;S,4,14,Monoclinic,0.0,5.2348,False,icsd-174059;icsd-200524;icsd-26337,,2021-05-23 02:41:23.771000+00:00
2026.04.13,mp-6318,KLiSO4,K:0.14285714|Li:0.14285714|O:0.57142857|S:0.14285714,K;Li;O;S,4,9,Monoclinic,7.57285714287903e-05,5.3179,False,icsd-71366;icsd-71367,,2021-02-24 13:48:07.492000+00:00
2026.04.13,mp-641703,Li7P3S11,Li:0.33333333|P:0.14285714|S:0.52380952,Li;P;S,3,2,Triclinic,0.019883183531745452,2.4142,False,icsd-157654,,2021-03-10 00:44:31.608000+00:00
2026.04.13,mp-6597,CsLiSO4,Cs:0.14285714|Li:0.14285714|O:0.57142857|S:0.14285714,Cs;Li;O;S,4,62,Orthorhombic,0.003316206428570112,5.1697999999999995,False,icsd-200623;icsd-63179;icsd-88900,,2021-02-05 09:53:53.351000+00:00
2026.04.13,mp-6726,CsLiSO4,Cs:0.14285714|Li:0.14285714|O:0.57142857|S:0.14285714,Cs;Li;O;S,4,14,Monoclinic,0.0,5.2736,False,icsd-200624;icsd-63181;icsd-63182;icsd-63183,,2023-10-07 11:57:59.930000+00:00
2026.04.13,mp-675419,LiPrS2,Li:0.25000000|Pr:0.25000000|S:0.50000000,Li;Pr;S,3,9,Monoclinic,0.03416889437500181,1.8884,True,,,2021-02-04 16:39:52.526000+00:00
2026.04.13,mp-677680,LiMgAl3(SO4)6,Al:0.08571429|Li:0.02857143|Mg:0.02857143|O:0.68571429|S:0.17142857,Al;Li;Mg;O;S,5,2,Triclinic,0.016932808607148075,5.7139999999999995,True,,,2021-02-24 06:53:30.614000+00:00
2026.04.13,mp-6783,NaLiSO4,Li:0.14285714|Na:0.14285714|O:0.57142857|S:0.14285714,Li;Na;O;S,4,159,Trigonal,0.00014546970238082935,5.5381,False,icsd-14364;icsd-67702;icsd-67703;icsd-95407,,2021-02-07 10:01:45.727000+00:00
2026.04.13,mp-679944,Li4Re6S11,Li:0.19047619|Re:0.28571429|S:0.52380952,Li;Re;S,3,56,Orthorhombic,0.023736385476196276,1.5798,False,icsd-201810,,2021-02-24 01:04:59.465000+00:00
2026.04.13,mp-6800,KLiSO4,K:0.14285714|Li:0.14285714|O:0.57142857|S:0.14285714,K;Li;O;S,4,159,Trigonal,0.0,5.3245,False,icsd-62981;icsd-71365;icsd-88829,,2021-03-10 00:06:01.759000+00:00
2026.04.13,mp-691187,LiPrS2,Li:0.25000000|Pr:0.25000000|S:0.50000000,Li;Pr;S,3,1,Triclinic,0.04099099062500233,1.8862,True,,,2021-02-20 07:31:06.036000+00:00
2026.04.13,mp-694995,LiMgCr3(SO4)6,Cr:0.08571429|Li:0.02857143|Mg:0.02857143|O:0.68571429|S:0.17142857,Cr;Li;Mg;O;S,5,2,Triclinic,0.00770653889286077,2.6414,True,,,2021-02-09 10:56:49.525000+00:00
2026.04.13,mp-695469,Li3Cr13Ni3(SO4)24,Cr:0.09352518|Li:0.02158273|Ni:0.02158273|O:0.69064748|S:0.17266187,Cr;Li;Ni;O;S,5,1,Triclinic,0.028480406825536875,2.2487,True,,,2020-04-29 08:17:39.472000+00:00
2026.04.13,mp-696123,Li10Sn(PS6)2,Li:0.40000000|P:0.08000000|S:0.48000000|Sn:0.04000000,Li;P;S;Sn,4,105,Tetragonal,0.0350227293000005,2.0004,True,,,2021-02-23 18:52:49.124000+00:00
2026.04.13,mp-696128,Li10Ge(PS6)2,Ge:0.04000000|Li:0.40000000|P:0.08000000|S:0.48000000,Ge;Li;P;S,4,105,Tetragonal,0.0298671299000004,2.0551,True,,,2023-10-08 02:30:39.784000+00:00
2026.04.13,mp-696129,Li10Si(PS6)2,Li:0.40000000|P:0.08000000|S:0.48000000|Si:0.04000000,Li;P;S;Si,4,105,Tetragonal,0.01784785039999992,2.3830999999999998,True,,,2021-02-24 17:23:26.648000+00:00
